Symbol,Strategy Name,Name of security,Status,Action,Quantity|Face Value,Price,Timing,Fill Price,Fill Price is Average,Time and Date(ET),Last Activity Date(ET),Reinvest Capital Gains,Order Number
ADI,,ANALOG DEVICES INC,Filled,Sell,2 Shares,Market,Day,$362.39,No,11:59 AM 08/31/2026,11:59 AM 08/31/2026,,716251756600
HD,,HOME DEPOT INC,Filled,Sell,2 Shares,Market,Day,$326.8047,No,9:33 AM 08/31/2026,9:33 AM 08/31/2026,,874823656600
PLTR,,PALANTIR TECHNOLOGIES INCLASS            CLASS A,Filled,Sell,6 Shares,Market,Day,$185.9331,No,9:33 AM 08/31/2026,9:33 AM 08/31/2026,,474823656600
RSPN,,INVESCO S&P 500 EQUAL   WEIGHT INDUSTRIALS ETF,Filled,Sell,16 Shares,Market,Day,$61.846,No,9:33 AM 08/31/2026,9:33 AM 08/31/2026,,974823656600
SOFI,,SOFI TECHNOLOGIES INC,Filled,Sell,23 Shares,Market,Day,$17.835,No,9:33 AM 08/31/2026,9:33 AM 08/31/2026,,674823656600
